feature,mae_increase
roll_std_30,2.3149962425231934
prev_demand,2.1935086250305176
roll_mean_30,0.7580034732818604
lag_7,0.6402592658996582
roll_mean_7,0.49423837661743164
quarter_cos,0.47196030616760254
dow_cos,0.4702184200286865
month_cos,0.41529059410095215
roll_std_7,0.37209272384643555
lag_14,0.36232829093933105
quarter_sin,0.3443899154663086
doy_cos,0.32329320907592773
is_weekend,0.29945850372314453
is_promotion,0.16093802452087402
category_Sports,0.14388632774353027
dow_sin,0.14111924171447754
discount_pct,0.09900498390197754
category_Apparel,0.09222054481506348
month_sin,0.08361387252807617
category_Electronics,0.04141592979431152
category_Home,0.03693890571594238
unit_price,0.030951976776123047
category_Beauty,0.025416135787963867
doy_sin,0.009135007858276367
supplier_lead_days,0.0012159347534179688
stock_on_hand,-0.00015211105346679688
reorder_point,-0.007697582244873047
